Drug1_ID,Drug2_ID,Y,Neg samples
DB00296,DB00571,48,DB08873$h
DB09166,DB08873,72,DB01614$h
DB01161,DB01433,48,DB09015$t
DB00511,DB00613,72,DB00448$t
DB01320,DB00870,3,DB00378$h
DB00814,DB01259,46,DB00529$t
DB01131,DB00678,46,DB04711$t
DB00250,DB01211,46,DB00891$t
DB00947,DB00203,46,DB04876$t
DB09342,DB09118,48,DB00819$t
DB01236,DB00470,15,DB00470$h
DB06212,DB00780,72,DB00814$t
DB04844,DB01026,19,DB00655$h
DB01206,DB00511,57,DB08905$t
DB00925,DB01601,46,DB05381$t
DB00497,DB13872,48,DB00751$t
DB00613,DB00678,46,DB00619$t
DB01026,DB04339,48,DB06261$h
DB01028,DB00768,48,DB00870$t
DB08916,DB00470,72,DB01195$t
DB00608,DB01015,19,DB09338$h
DB00675,DB09167,72,DB00216$h
DB01320,DB00665,3,DB00877$h
DB01567,DB00470,15,DB00448$h
DB01036,DB00273,48,DB01022$h
DB01175,DB00619,46,DB08933$t
DB06201,DB00956,48,DB01326$h
DB01259,DB00976,72,DB00768$h
DB01567,DB05246,48,DB00392$h
DB00615,DB04743,74,DB06152$h
DB00497,DB01021,48,DB13142$t
DB01236,DB09211,52,DB00916$t
DB00736,DB01601,46,DB00877$t
DB00889,DB00203,46,DB08882$t
DB01236,DB00356,48,DB09223$h
DB00402,DB04896,48,DB00577$h
DB01236,DB00427,48,DB09015$h
DB00850,DB01214,59,DB00628$t
DB00321,DB04896,48,DB11560$h
DB01339,DB06696,39,DB00613$h
DB01595,DB00768,48,DB09118$t
DB01131,DB01601,46,DB00321$t
DB01081,DB01587,48,DB00718$h
DB01595,DB00619,46,DB06412$t
DB04743,DB01046,69,DB01351$h
DB01567,DB13025,48,DB01583$h
DB09330,DB00806,74,DB08918$h
DB00497,DB00854,48,DB08931$t
DB01175,DB02703,72,DB01103$t
DB01268,DB08943,46,DB00658$t
DB00690,DB00619,46,DB00625$t
DB00215,DB00216,48,DB01614$h
DB09167,DB01583,81,DB00529$h
DB01600,DB00710,48,DB11348$t
DB00768,DB01021,69,DB00633$h
DB06414,DB08930,74,DB00518$h
DB08918,DB00889,63,DB00608$t
DB00633,DB05246,48,DB06819$t
DB01615,DB13872,48,DB01463$t
DB01351,DB00890,69,DB08916$t
DB00514,DB00675,46,DB09125$t
DB01216,DB01149,46,DB00321$t
DB00502,DB02703,72,DB01438$h
DB00870,DB09167,46,DB00690$h
DB06155,DB00270,46,DB06819$h
DB00182,DB06691,75,DB01149$h
DB00489,DB09215,36,DB02546$t
DB01595,DB00215,48,DB00518$h
DB00699,DB04871,46,DB08983$t
DB01103,DB00976,46,DB01141$t
DB00518,DB00270,46,DB01326$h
DB01320,DB06155,3,DB00201$h
DB00201,DB00215,46,DB00339$t
DB00889,DB09330,72,DB00402$t
DB00571,DB08933,72,DB00080$h
DB01614,DB00356,48,DB09069$h
DB01320,DB00395,3,DB02546$h
DB00745,DB08873,46,DB01022$t
DB00744,DB00270,46,DB02701$t
DB06414,DB01195,74,DB00633$t
DB09555,DB09330,72,DB00339$t
DB00617,DB09048,72,DB00990$t
DB00514,DB00850,48,DB09130$t
DB00502,DB01161,48,DB06826$h
DB00420,DB09330,72,DB04876$t
DB06144,DB05246,48,DB08983$t
DB00678,DB08943,46,DB00328$h
DB00321,DB09048,72,DB00832$h
DB00210,DB00655,48,DB00736$t
DB01184,DB01015,19,DB00304$h
DB01149,DB11586,72,DB01205$h
DB00806,DB09477,59,DB04571$t
DB01609,DB01219,74,DB00947$h
DB00870,DB00487,26,DB00304$h
DB08918,DB08933,72,DB00990$t
DB00615,DB00203,3,DB09330$h
DB01081,DB00356,48,DB00710$h
DB06696,DB00210,71,DB00877$h
DB00619,DB00752,46,DB12278$h
DB06155,DB01211,46,DB01204$t
DB09477,DB00328,48,DB00690$t
DB00655,DB08933,72,DB00719$h
DB00608,DB00630,48,DB00680$h
DB06282,DB09048,72,DB01609$t
DB00682,DB00814,5,DB09488$h
DB09039,DB01259,19,DB09185$h
DB00870,DB06781,48,DB08957$h
DB01233,DB00572,69,DB00323$h
DB00318,DB00818,48,DB00752$h
DB00445,DB01600,71,DB00384$t
DB01349,DB01211,46,DB00969$h
DB00627,DB04876,69,DB00497$h
DB00690,DB08873,46,DB09488$t
DB01595,DB00807,48,DB11586$t
DB08918,DB05219,46,DB13025$t
DB08905,DB00981,48,DB00947$h
DB00843,DB01199,69,DB01301$t
DB00843,DB00572,69,DB08957$t
DB01259,DB00625,46,DB01162$h
DB00244,DB00869,48,DB01175$h
DB08873,DB02703,72,DB01609$h
DB01406,DB04876,69,DB00890$h
DB06739,DB09167,46,DB00891$h
DB08880,DB01324,69,DB00182$h
DB08916,DB01601,72,DB00956$h
DB09396,DB09048,72,DB09185$h
DB00956,DB09235,48,DB01219$t
DB01058,DB08933,72,DB08882$h
DB00608,DB06781,48,DB01592$h
DB00296,DB01161,48,DB00619$h
DB01015,DB09330,72,DB01411$h
DB11560,DB00625,46,DB06217$t
DB00925,DB00296,48,DB01463$h
DB00402,DB01567,48,DB00640$t
DB00216,DB00502,46,DB01351$t
DB00402,DB00296,48,DB09396$h
DB08918,DB06414,46,DB01162$t
DB00489,DB04552,36,DB12278$t
DB00448,DB01023,46,DB00470$h
DB01411,DB00976,72,DB01216$h
DB09241,DB00956,59,DB00553$t
DB00956,DB00647,15,DB00736$t
DB01611,DB00608,74,DB00803$h
DB01175,DB02546,19,DB04711$h
DB09039,DB00346,19,DB01023$t
DB00215,DB00854,63,DB00736$h
DB00489,DB00571,48,DB09297$t
DB01236,DB04896,48,DB00620$t
DB04871,DB08918,48,DB06282$t
DB00402,DB00270,46,DB05381$t
DB00870,DB09215,48,DB00976$t
DB00818,DB00633,48,DB00768$h
DB00953,DB04896,48,DB09018$t
DB00497,DB00215,46,DB05219$t
DB01195,DB01026,19,DB01339$t
DB01161,DB01567,48,DB08871$t
DB00427,DB00575,48,DB08828$h
DB08828,DB08873,46,DB01299$t
DB01325,DB01199,72,DB01587$h
DB00843,DB01601,46,DB00680$h
DB01028,DB01149,46,DB00869$t
DB01199,DB06696,39,DB04911$h
